model,modal,n_images,timestamp,EN,MI,VAR,AG,SF,EI,NCIE,MI_mutual,NABF,FMI,CE,SSIM,PSNR,RMSE,QG,QM,QC,QS,QCB,QCV,QY,QMI,QSF,QNCIE,QTE
LRFNet,PET,24,20260424_005832,5.231228596815197,73.35530471801758,83.65473796514101,10.11846948623495,31.202797492771868,103.80976788266291,0.8084701912827827,2.2485392692240618,0.006190079479021444,0.6386960206123994,0.9700539489673918,1.4026867315333282,55.7251289803973,0.17453389307958145,0.7303488384022762,0.01640113963785468,0.5772190895837986,0.5147990451418969,0.8312532809526028,58.059983174183664,0.9487213839918729,0.7073438973683079,0.14027012604022526,0.8084701912827827,-5.372702547320817
LRFNet,SPECT,24,20260424_005937,4.597984838484632,45.238904317220054,59.206780098320365,6.072455364227651,19.95877735399684,61.643315683967494,0.8079869923994155,2.2681734997913234,0.008154663572833913,0.657610776251189,1.043213606116193,1.462104935271195,58.263219245410966,0.0980323143973237,0.6981074313262386,0.028003399855676504,0.4942119979318882,0.4316947367964385,0.7783533573801029,33.311013600716706,0.9594561702795094,0.7924628265483564,0.1235954107510359,0.8079869923994155,-10.29543106752598
MBHFuse,CT,10,20260424_010031,5.172600917726831,73.99478149414062,81.92099901529596,9.167619403950404,37.71855638636433,88.9082986792705,0.8064049282993425,1.9677008417038935,0.01643555608555298,0.18672315363590228,8.092103719684664,0.7369490372967067,54.84168696043357,0.21416258138959465,0.6069050136324761,0.004768261375305115,0.42996423570108433,0.3686602246137527,0.7802590791551098,855.1925360203182,0.5326391632320543,0.6792414331501301,0.07881139276672072,0.8064049282993425,-9.1687886317393
MBHFuse,PET,10,20260424_010124,5.744346935354306,82.66271667480468,88.979308539533,12.339780400111875,38.71069805488567,122.48678491925932,0.8089271762493283,2.2794922560523725,0.021555698508602287,0.2533088683158312,1.4816692086098333,0.8653231884849564,55.10426771426499,0.20102517040518264,0.7664508736166074,0.04956574138063145,0.5787575699525035,-0.4053669770200573,0.8974939608192543,72.37650757206951,0.6825168384960234,0.6878526958471178,0.006192070039415657,0.8089271762493283,-7.19811800382413
MBHFuse,SPECT,10,20260424_010218,5.824719931386776,62.870233154296876,68.82899218602634,7.357756568556003,22.598383627053103,73.53884647962646,0.8097578710607299,2.5225499343328797,0.03103677086737721,0.29770752037691917,1.0984495385829653,0.9559048494760637,56.46536715570229,0.14707195166171325,0.7478999243161656,0.0982221561108799,0.6150450770295414,0.5354240308658827,0.9165038979132853,38.04571888743139,0.7363343395884479,0.7426493851567891,0.011098397150704898,0.8097578710607299,-5.5914611900173705
MFS-Fusion,CT,24,20260424_015225,4.713473123825305,69.20155016581218,83.94711140936376,8.07116508820316,32.85623737533587,82.52369028684872,0.8069038605466465,2.0960957990019438,0.013147417321873299,0.6674045099766931,1.0691598275939231,1.4732608721203968,55.057947367338464,0.2036133450774514,0.6091977518053383,0.012910247917767551,0.4837148518963501,0.4130072890830836,0.8077741277623911,515.0121748815834,0.9294412767847303,0.7579093604605162,0.14292451207290485,0.8069038605466465,-9.824114557045293
MFS-Fusion,PET,24,20260424_024216,5.463009358939783,82.57082875569661,91.38201513092729,11.520625563776427,35.17309892363374,118.04586878302753,0.8093554060668797,2.3698858032121826,0.01231683194735241,0.6224406055976269,0.9124275754586485,1.4057206206199198,55.0899550913235,0.20194083291516987,0.7595536007527931,0.09374919607472902,0.6535342376926853,0.604537865902515,0.8962010292260784,46.72452887726174,0.958088306730717,0.7250676024681025,0.032145500668122225,0.8093554060668797,-7.12495676353808
MFS-Fusion,SPECT,24,20260424_033213,5.04546004105874,49.28054745992025,63.191367931512666,6.945703151955711,22.146516311910414,70.21362328377502,0.8089240651484425,2.3924870739844972,0.02367403794364752,0.6466736242088648,1.037507608444175,1.4648422852299803,57.7342462994653,0.11031723759356693,0.7423922932851276,0.12150561872090328,0.6240866066163642,0.5630993465431917,0.8772530131672817,32.79189981825666,0.9684483740881763,0.7886838185588547,0.028934914286944734,0.8089240651484425,-6.871663734524103
MLFuse,PET,10,20260424_094122,5.58715179912082,,80.10701626768822,10.406449040201618,33.53497505014618,105.19817603726763,0.8065639412257507,1.9396840757107252,0.001245960245077423,0.24393656581708276,9.40909493694736,0.7119051354582662,54.94087606511124,0.20857642433061802,0.6828691303158791,0.008143952677211455,0.5281098387953704,0.49951696987132993,0.888130643980946,74.83444825242731,0.5440824359733225,0.6004213838524203,0.12588454159549592,0.8065639412257507,-9.36341561405403
MLFuse,SPECT,10,20260424_094148,5.4634022707495005,,59.37974860436058,6.136210187831061,19.59816790435351,62.20438167189688,0.8074399300701953,2.2055218221337234,0.009301486710647525,0.27472866765346554,7.65150554961364,0.9231516606589054,57.23751312541923,0.12346931127700722,0.628712293296452,0.01205680670612419,0.5610719544063173,0.5237669144116802,0.9110668695566246,51.214233448419485,0.6588945909675329,0.6794495915029983,0.1317230400654801,0.8074399300701953,-6.6006421611357045
MLFuse,CT,10,20260424_094215,4.642136832358336,,67.23956486752141,5.989445783084597,27.233108034096574,61.32446101088632,0.8066158389117533,2.0584889931845702,0.00198097757857237,0.19273013792340293,10.11742725862969,0.6006230920060776,54.63445128831188,0.22533111162737024,0.4955884474448243,0.002172408601340099,0.39040460351676975,0.3343296619945558,0.7556795679679155,542.4575991882903,0.4243282049256103,0.7641820551804678,0.31433819533149066,0.8066158389117533,-10.622933988314582
MM-Net-Fusion,PET,10,20260424_093303,5.261186029745247,,80.64382313313918,10.85067773261564,34.17862060536173,108.91881966754832,0.8130334908541788,2.820345115736494,5.272215454938015e-05,0.6533562889241937,0.9162240606144924,1.4127978334721312,55.846828363828216,0.16946378860588582,0.797222415390635,0.03541224095126186,0.7132196056345734,0.6160800229039587,0.8982977238237305,58.263404336990604,0.9940505458340733,0.8896941633425091,0.1160684511258454,0.8130334908541788,-6.350267651168942
